UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
AUTO THEFT,090220754,01/22/2009,585 WELLS ST SW,301,Pittsburgh,V,33.7399,-84.40686,
AUTO THEFT,090220399,01/22/2009,578 EAST AVE NE,511,Old Fourth Ward,M,33.76342,-84.36831,
AUTO THEFT,090220950,01/22/2009,1824 HONEYSUCKLE LN,408,Venetian Hills,R,33.70739,-84.45501,
AUTO THEFT,090221010,01/22/2009,1852 HONEY SUCKLE LN SW,408,Campbellton Road,R,33.70666,-84.45359,
AUTO THEFT,090221473,01/22/2009,377 WESTCHESTER BLVD NW,105,Grove Park,J,33.76555,-84.45301,
LARCENY-NON VEHICLE,090222000,01/22/2009,2561 BOLTON RD NW,208,,C,33.82044,-84.45081,
LARCENY-NON VEHICLE,090220816,01/22/2009,6000 NORTH TERMINAL PKY,706,Sweet Auburn,M,33.7595,-84.3788,
LARCENY-NON VEHICLE,090221038,01/22/2009,3273 KINGSTON RD NW,109,Collier Heights,I,33.77984,-84.49465,
LARCENY-NON VEHICLE,090221062,01/22/2009,3709 LANDAU LN SW,409,Cascade Green,P,33.715,-84.50317,
LARCENY-NON VEHICLE,090220681,01/22/2009,726 HILLPINE DR NE,602,Morningside/Lenox Park,F,33.7928,-84.36318,
AUTO THEFT,090220308,01/22/2009,1365 MONROE DR NE,602,Morningside/Lenox Park,F,33.7922,-84.36686,
AUTO THEFT,090220380,01/22/2009,1509 WESTWOOD AVE SW,402,Westview,T,33.73851,-84.43683,
AUTO THEFT,090221980,01/22/2009,449 JOHN ST NW,111,English Avenue,L,33.76649,-84.40246,
AUTO THEFT,090221918,01/22/2009,3330 PIEDMONT RD NE,205,Buckhead Forest,B,33.84653,-84.37292,
AUTO THEFT,090220305,01/22/2009,1110 ROSEDALE DR NE,603,Virginia Highland,F,33.77999,-84.35095,
AUTO THEFT,090222031,01/22/2009,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276,
AUTO THEFT,090221401,01/22/2009,326 NELSON ST SW,508,Castleberry Hill,M,33.75149,-84.3984,
AUTO THEFT,090220492,01/22/2009,370 NORTHSIDE DR NW,111,English Avenue,L,33.76527,-84.40498,
AUTO THEFT,090220831,01/22/2009,597 WILLARD AVE SW,402,Westview,T,33.7391,-84.43743,
AUTO THEFT,090221740,01/22/2009,488 HAMMOND,107,Atlanta University Center,T,33.74182,-84.41322,
LARCENY-NON VEHICLE,090220020,01/22/2009,254 NORTH AVE NE,505,Midtown,E,33.77133,-84.37896,
LARCENY-NON VEHICLE,090220321,01/22/2009,1125 CASCADE CIR SW,403,Cascade Avenue/Road,S,33.72571,-84.44896,
LARCENY-NON VEHICLE,090221536,01/22/2009,1117 AVON AVE SW,403,Oakland City,S,33.72252,-84.42458,
LARCENY-NON VEHICLE,090221700,01/22/2009,921 HOWELL MILL RD NW,501,Home Park,E,33.78016,-84.41015,
LARCENY-NON VEHICLE,090220882,01/22/2009,108 FAIRBURN RD SW,413,Adamsville,H,33.75404,-84.50526,
LARCENY-NON VEHICLE,090220697,01/22/2009,774 VIRGINIA AVE NE,603,Virginia Highland,F,33.78235,-84.3628,
LARCENY-NON VEHICLE,090221555,01/22/2009,1940 BIXBY ST SE,608,Kirkwood,O,33.74958,-84.32415,
LARCENY-NON VEHICLE,090221221,01/22/2009,HEADLAND/ GREENBRIAR PKWY,408,Adams Park,R,33.70958,-84.4674,
LARCENY-NON VEHICLE,090221921,01/22/2009,1610 MARTIN L KING JR DR SW,103,Mozley Park,K,33.75201,-84.43989,
LARCENY-NON VEHICLE,090212012,01/22/2009,3285 PEACHTREE ROAD,204,Peachtree Park,B,33.84441,-84.36862,
LARCENY-FROM VEHICLE,090220588,01/22/2009,1046 RIDGE AVE SW,302,Peoplestown,V,33.72631,-84.39189,
LARCENY-FROM VEHICLE,090220107,01/22/2009,123 WOODWARD AVE SE,302,Capitol Gateway,V,33.74555,-84.38355,
LARCENY-FROM VEHICLE,090220407,01/22/2009,337 MELL AVE NE;,605,Candler Park,N,33.76346,-84.3368,
LARCENY-FROM VEHICLE,090221330,01/22/2009,1041 HOWELL MILL RD NW,501,Home Park,E,33.78318,-84.41125,
LARCENY-FROM VEHICLE,090221276,01/22/2009,582 FORMWALT ST SW,301,Mechanicsville,V,33.73888,-84.39556,
LARCENY-FROM VEHICLE,090221206,01/22/2009,1455 ELLSWORTH INDUSTRIAL BLVD NW,209,Blandtown,D,33.79579,-84.42575,
LARCENY-FROM VEHICLE,090220915,01/22/2009,502 AMSTERDAM AVE NE,602,Morningside/Lenox Park,F,33.78831,-84.36969,
LARCENY-FROM VEHICLE,090221883,01/22/2009,1605 DONALD LEE HOLLOWELL PKWY NW @WOODSON ELEM,105,Grove Park,J,33.773,-84.43982,
LARCENY-FROM VEHICLE,090221042,01/22/2009,1190 FOSTER ST NW,209,Blandtown,D,33.78721,-84.41453,
LARCENY-FROM VEHICLE,090221676,01/22/2009,595 W LAKE AVE NW,105,Grove Park,J,33.7717,-84.44165,
LARCENY-FROM VEHICLE,090221910,01/22/2009,1779 MCLENDON AVE NE,605,Lake Claire,N,33.76465,-84.32929,
LARCENY-FROM VEHICLE,090221970,01/22/2009,508 MAIN ST NE,206,Lindbergh/Morosgo,B,33.8227,-84.37056,
LARCENY-FROM VEHICLE,090221307,01/22/2009,75 MARTIN LUTHER KING JR DRIVE,509,Downtown,M,33.7514,-84.39098,
LARCENY-FROM VEHICLE,090221905,01/22/2009,40 SIMPSON ST NW,507,Downtown,M,33.76322,-84.38868,
LARCENY-FROM VEHICLE,090221894,01/22/2009,982 WASHINGTON PL SW,107,Ashview Heights,T,33.7535,-84.41969,
LARCENY-FROM VEHICLE,090221838,01/22/2009,1879 CHESHIRE BRIDGE RD NE;,601,Morningside/Lenox Park,F,33.80952,-84.36122,
LARCENY-FROM VEHICLE,090221768,01/22/2009,1824 CHESHIRE BRIDGE RD NE,602,Morningside/Lenox Park,F,33.80931,-84.36303,
LARCENY-FROM VEHICLE,090221829,01/22/2009,1004 LOS ANGELES AVE NE,603,Virginia Highland,F,33.78354,-84.35431,
LARCENY-FROM VEHICLE,090211940,01/22/2009,3179 PEACHTREE ROAD,203,Buckhead Village,B,33.84103,-84.37544,
LARCENY-FROM VEHICLE,090220360,01/22/2009,1905 TROTTI ST NE,607,Kirkwood,O,33.75621,-84.32535,
LARCENY-FROM VEHICLE,090220372,01/22/2009,49 WYMAN ST SE,608,Kirkwood,O,33.75184,-84.33341,
LARCENY-FROM VEHICLE,090220470,01/22/2009,3459 BUCKHEAD LOOP NE,203,North Buckhead,B,33.85119,-84.36313,
LARCENY-FROM VEHICLE,090220480,01/22/2009,1339 BEECHWOOD HILLS CT NW,202,Mt. Paran/Northside,A,33.86183,-84.43176,
LARCENY-FROM VEHICLE,090220440,01/22/2009,510 BECKWITH CT SW,107,Atlanta University Center,T,33.75194,-84.40474,
LARCENY-FROM VEHICLE,090220612,01/22/2009,594 WIMBLEDON RD NE;,602,Piedmont Heights,F,33.80656,-84.36741,
LARCENY-FROM VEHICLE,090220459,01/22/2009,PEACHTREE ST SW / MITCHELL ST SW,508,Downtown,M,33.75094,-84.39303,
LARCENY-FROM VEHICLE,090212047,01/22/2009,800 MIAMI CIR,204,Lindbergh/Morosgo,B,33.83098,-84.36329,
LARCENY-FROM VEHICLE,090220038,01/22/2009,755 HANK AARON DR SW,302,Summerhill,V,33.73624,-84.389,
LARCENY-FROM VEHICLE,090220265,01/22/2009,758 PONCE DE LEON AVE NE,603,Virginia Highland,F,33.77412,-84.36228,
LARCENY-FROM VEHICLE,090220158,01/22/2009,90 CENTRAL AVE,509,Downtown,M,33.75216,-84.38859,
LARCENY-FROM VEHICLE,090220084,01/22/2009,250 10TH ST NE,504,Midtown,E,33.78218,-84.37867,
LARCENY-FROM VEHICLE,090220420,01/22/2009,3343 PEACHTREE RD NE,204,Lenox,B,33.84748,-84.36737,
LARCENY-FROM VEHICLE,090220273,01/22/2009,873 VEDADO WAY NE,505,Midtown,E,33.77836,-84.37105,
LARCENY-NON VEHICLE,090220842,01/22/2009,3393 PEACHTREE RD,204,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,090221078,01/22/2009,3535 PEACHTREE RD NE,204,Lenox,B,33.85182,-84.3595,
LARCENY-NON VEHICLE,090221514,01/22/2009,2325 MARIETTA BLVD NW,208,,C,33.82087,-84.45355,
LARCENY-NON VEHICLE,090221861,01/22/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80448,-84.41348,
LARCENY-NON VEHICLE,090221585,01/22/2009,30 E ANDREWS DR NW,205,South Tuxedo Park,B,33.84327,-84.38028,
BURGLARY-NONRES,090220546,01/22/2009,2038 DONALD LEE HOLLOWELL PKWY,105,Grove Park,J,33.77665,-84.45179,
BURGLARY-NONRES,090220737,01/22/2009,2003 MARIETTA RD NW,209,Bolton,D,33.81049,-84.45325,
BURGLARY-NONRES,090220729,01/22/2009,2124 JAMES JACKSON PKWY NW,209,Whittier Mill Village,D,33.81397,-84.47772,
BURGLARY-NONRES,090220676,01/22/2009,2945 STONE HOGAN CONN SW,408,Greenbriar,R,33.67511,-84.49716,
BURGLARY-NONRES,090221348,01/22/2009,2386 PAUL AVE NW,209,Riverside,D,33.81991,-84.47522,
BURGLARY-RESIDENCE,090221397,01/22/2009,3813 KING ARTHUR RD SW,409,Kings Forest,P,33.69996,-84.51289,
LARCENY-NON VEHICLE,090221106,01/22/2009,3619 STONE RD SW,410,Ben Hill Pines,P,33.67939,-84.5068,
LARCENY-NON VEHICLE,090221576,01/22/2009,82 PEACHTREE STREET,509,Downtown,M,33.75186,-84.39133,
LARCENY-NON VEHICLE,090211102,01/22/2009,2002 HOWELL MILL RD,207,Wildwood (NPU-C),C,33.80963,-84.41315,
BURGLARY-RESIDENCE,090222138,01/22/2009,2960 WATERS RD SW,309,Glenrose Heights,Z,33.67364,-84.39531,
BURGLARY-RESIDENCE,090220883,01/22/2009,220 CORLEY ST NE,511,Old Fourth Ward,M,33.76019,-84.3664,
BURGLARY-RESIDENCE,090220236,01/22/2009,4090 ROSWELL RD NE,203,East Chastain Park,B,33.86672,-84.38188,
BURGLARY-RESIDENCE,090221191,01/22/2009,320 FAIRBURN RD SW,413,Fairburn Mays,H,33.7451,-84.50858,
BURGLARY-RESIDENCE,090221152,01/22/2009,4 CHAPPELL RD NW,103,Hunter Hills,K,33.75505,-84.4338,
BURGLARY-RESIDENCE,090221111,01/22/2009,385 SUNSET AVE NW,111,English Avenue,L,33.76516,-84.4097,
BURGLARY-NONRES,090220260,01/22/2009,938 NORTHSIDE DR NW,501,Home Park,E,33.7804,-84.40757,
BURGLARY-RESIDENCE,090220851,01/22/2009,96 LAKEVIEW DR NE,607,Kirkwood,O,33.75446,-84.31181,
BURGLARY-RESIDENCE,090221058,01/22/2009,406 TAZOR STREET,102,Bankhead,K,33.76568,-84.42106,
BURGLARY-RESIDENCE,090221008,01/22/2009,774 WOODSON ST SE,304,Grant Park,W,33.7334,-84.37903,
BURGLARY-RESIDENCE,090220888,01/22/2009,153 ELEANOR ST SE,608,Kirkwood,O,33.74878,-84.32447,
BURGLARY-RESIDENCE,090221909,01/22/2009,1278 LUCILE AVE SW,401,West End,T,33.7422,-84.4296,
BURGLARY-RESIDENCE,090221282,01/22/2009,1871 CONRAD AVE SE,306,Lakewood Heights,Y,33.70313,-84.38201,
BURGLARY-RESIDENCE,090221422,01/22/2009,1017 WESTVIEW DR SW,107,Ashview Heights,T,33.74771,-84.42066,
BURGLARY-RESIDENCE,090221529,01/22/2009,321 SPRINGSIDE DR SE,309,Orchard Knob,Z,33.67635,-84.37917,
BURGLARY-RESIDENCE,090221710,01/22/2009,628 HEMLOCK CIR SE,609,Ormewood Park,W,33.73695,-84.35217,
BURGLARY-RESIDENCE,090221750,01/22/2009,1090 WEST AVE SW,303,Pittsburgh,V,33.72496,-84.39572,
BURGLARY-RESIDENCE,090221532,01/22/2009,1107 FLYNN ST NW,501,Home Park,E,33.78499,-84.40513,
BURGLARY-RESIDENCE,090221266,01/22/2009,2775 N HILLS DR NE,206,Garden Hills,B,33.8308,-84.37204,
BURGLARY-RESIDENCE,090221967,01/22/2009,126 BROWN AVE,305,South Atlanta,Y,33.71409,-84.3842,
AGG ASSAULT,090221948,01/22/2009,2018 TURNER RD,611,Thomasville Heights,Z,33.69877,-84.35522,
AGG ASSAULT,090221076,01/22/2009,55 MCDONOUGH BLVD SE,305,South Atlanta,Y,33.72024,-84.38654,
AGG ASSAULT,090220767,01/22/2009,869 HOLLYWOOD RD NW,105,Grove Park,J,33.7789,-84.45378,
AGG ASSAULT,090221697,01/22/2009,600 GREENSFERRY AVE SW,107,The Villages at Castleberry Hill,T,33.74662,-84.40755,
AGG ASSAULT,090220724,01/22/2009,1250 PARK AVE SE,305,Chosewood Park,Y,33.72042,-84.37075,
AGG ASSAULT,090222111,01/22/2009,900 NEW TOWN CIR SE,611,Thomasville Heights,Z,33.70837,-84.36007,
ROBBERY-PEDESTRIAN,090221936,01/22/2009,3060 DELMAR LN NW,412,,I,33.75537,-84.48672,
ROBBERY-PEDESTRIAN,090221914,01/22/2009,901 JOSEPH E BOONE BLVD,103,English Avenue,L,33.76375,-84.41708,
ROBBERY-PEDESTRIAN,090221896,01/22/2009,1069 SEABOARD AVE NE,606,Reynoldstown,N,33.75712,-84.35171,
ROBBERY-PEDESTRIAN,090222056,01/22/2009,122 DOGWOOD DR SW,412,Harland Terrace,I,33.75091,-84.46916,
ROBBERY-PEDESTRIAN,090221436,01/22/2009,DURANT PL NE / 4TH ST NE,505,Midtown,E,33.77445,-84.37583,
ROBBERY-PEDESTRIAN,090221741,01/22/2009,1294 DONNELLY AVE SW,402,West End,T,33.73453,-84.43003,
ROBBERY-COMMERCIAL,090221147,01/22/2009,1388 JOSEPH E BOONE BLVD NW,103,Hunter Hills,K,33.7633,-84.43337,
ROBBERY-PEDESTRIAN,090211983,01/21/2009,295 PONCE DE LEON AVE NE,505,Midtown,E,33.77213,-84.37814,
ROBBERY-PEDESTRIAN,090212055,01/21/2009,1080 HOOD ST,311,Sylvan Hills,X,33.71249,-84.42358,
ROBBERY-PEDESTRIAN,090211868,01/21/2009,876 SPENCER ST,101,Vine City,L,33.75961,-84.41619,
ROBBERY-PEDESTRIAN,090211897,01/21/2009,962 HOBSON ST SW,303,Pittsburgh,V,33.72867,-84.4056,
ROBBERY-PEDESTRIAN,090211989,01/21/2009,1105 ASTOR AVE SW,311,Sylvan Hills,X,33.70162,-84.42455,
ROBBERY-COMMERCIAL,090210254,01/21/2009,1695 NORTHSIDE DR NW,210,Loring Heights,E,33.80107,-84.40742,
ROBBERY-PEDESTRIAN,090210252,01/21/2009,445 FELTON DR NE,510,Old Fourth Ward,M,33.76699,-84.37428,
ROBBERY-PEDESTRIAN,090210050,01/21/2009,921 WESTMORELAND CIR NW,106,West Highlands,G,33.78956,-84.44919,
AGG ASSAULT,090211950,01/21/2009,2571 DELLWOOD DR,207,Peachtree Battle Alliance,C,33.82563,-84.3978,
AGG ASSAULT,090210914,01/21/2009,1001 WELCH ST SE,609,Custer/McDonough/Guice,W,33.70776,-84.35584,
AGG ASSAULT,090211670,01/21/2009,1466 AVON AVE SW,406,Venetian Hills,S,33.72224,-84.4359,
BURGLARY-RESIDENCE,090210871,01/21/2009,606 WILSON MILL RD SW,413,Wildwood (NPU-H),H,33.74641,-84.51762,
BURGLARY-RESIDENCE,083271617,01/21/2009,106 DOGWOOD DR NW,109,Collier Heights,I,33.78241,-84.49389,
BURGLARY-RESIDENCE,090211813,01/21/2009,558 MEAD ST SE,304,Grant Park,W,33.72766,-84.36914,
BURGLARY-RESIDENCE,090210979,01/21/2009,445 IRA ST SW,301,Mechanicsville,V,33.74267,-84.40013,
BURGLARY-RESIDENCE,090210901,01/21/2009,1392 MCPHERSON AVE SE,610,East Atlanta,W,33.74451,-84.34215,
BURGLARY-RESIDENCE,090210875,01/21/2009,3627 FORREST PARK RD SE,310,South River Gardens,Z,33.6552,-84.3559,
BURGLARY-RESIDENCE,090211316,01/21/2009,8 GERTRUDE PL NW,105,Grove Park,J,33.77493,-84.44494,
BURGLARY-RESIDENCE,090211902,01/21/2009,187 MOURY AVE,305,The Villages at Carver,Y,33.71449,-84.39138,
BURGLARY-RESIDENCE,090210796,01/21/2009,611 WAYNES CT SE,310,South River Gardens,Z,33.67182,-84.36907,
BURGLARY-RESIDENCE,090210798,01/21/2009,1798 HADLOCK ST SW,406,,R,33.70615,-84.44611,
BURGLARY-RESIDENCE,090210712,01/21/2009,3201 WELLINGTON WALK SW,410,Princeton Lakes,P,33.66402,-84.51625,
BURGLARY-RESIDENCE,090210749,01/21/2009,1040 GARIBALDI ST SW,303,Pittsburgh,V,33.72639,-84.39912,
BURGLARY-NONRES,090210461,01/21/2009,98 ANDERSON AVE NW,104,Dixie Hills,J,33.75652,-84.45068,
BURGLARY-RESIDENCE,090210603,01/21/2009,725 ELLSWORTH DR NW,207,Springlake,C,33.80979,-84.41178,
BURGLARY-RESIDENCE,090210372,01/21/2009,2001 SYLVAN RD SW,311,Sylvan Hills,X,33.69981,-84.4184,
BURGLARY-RESIDENCE,090210726,01/21/2009,4146 CONWAY VALLEY RD NW,202,Mt. Paran/Northside,A,33.86845,-84.41971,
BURGLARY-RESIDENCE,090211389,01/21/2009,2710 KNOX ST NE,608,East Lake,O,33.75275,-84.29817,
BURGLARY-RESIDENCE,090211874,01/21/2009,2747 DEERWOOD LN SW,410,Ben Hill,P,33.67219,-84.5156,
BURGLARY-RESIDENCE,090211589,01/21/2009,1060 MCDANIEL STREET,303,Pittsburgh,V,33.72557,-84.40188,
BURGLARY-RESIDENCE,090211208,01/21/2009,2995 HUMPHRIES DR SE,309,Orchard Knob,Z,33.67344,-84.37761,
BURGLARY-RESIDENCE,090211304,01/21/2009,1265 CENTRA VILLA DR SW,407,Adams Park,R,33.72076,-84.4526,
LARCENY-NON VEHICLE,090211057,01/21/2009,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276,
LARCENY-NON VEHICLE,090211069,01/21/2009,595 PIEDMONT AVE NE,510,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-NON VEHICLE,090211078,01/21/2009,3393 PEACHTREE RD NE,204,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,090211052,01/21/2009,230 18TH ST NW,501,Atlantic Station,E,33.79212,-84.39554,
LARCENY-NON VEHICLE,090210563,01/21/2009,787 CASCADE AVE SW,402,Westview,T,33.73384,-84.43758,
LARCENY-NON VEHICLE,090212008,01/21/2009,2841 GREENBRIAR PKWY SW;,408,Greenbriar,R,33.68677,-84.49773,
LARCENY-NON VEHICLE,090211006,01/21/2009,671 PONCE DE LEON AVE NE @KROGER - PONCE,604,Poncey-Highland,N,33.77171,-84.36341,
LARCENY-NON VEHICLE,090210357,01/21/2009,851 FOX ST NW,111,English Avenue,L,33.77236,-84.41527,
BURGLARY-RESIDENCE,090211931,01/21/2009,2036 CONRAD AVE SE,306,Lakewood Heights,Y,33.69857,-84.3813,
BURGLARY-RESIDENCE,090211263,01/21/2009,1361 POLLARD DR SW,407,Adams Park,R,33.7189,-84.45676,
LARCENY-NON VEHICLE,090211189,01/21/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,090211857,01/21/2009,3393 PEACHTREE RD NE,204,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,090211243,01/21/2009,950 W PEACHTREE ST NE,501,Midtown,E,33.7805,-84.38752,
LARCENY-NON VEHICLE,090211653,01/21/2009,650 PONCE DE LEON AVE NE,505,Midtown,E,33.77351,-84.36651,
LARCENY-NON VEHICLE,090211205,01/21/2009,1275 CAROLINE ST NE,607,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,090211721,01/21/2009,3393 PEACHTREE RD NE,204,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,090211247,01/21/2009,3885 JONESBORO RD SE,310,South River Gardens,Z,33.64883,-84.36584,
LARCENY-FROM VEHICLE,090211583,01/21/2009,3365 PIEDMONT RD NE,203,North Buckhead,B,33.84709,-84.37295,
LARCENY-FROM VEHICLE,090211529,01/21/2009,2050 CHESHIRE BRIDGE RD NE;,602,Lindridge/Martin Manor,F,33.81217,-84.35605,
LARCENY-FROM VEHICLE,090170009,01/21/2009,3760 PRINCETON LAKES PARKWAY,410,Princeton Lakes,P,33.65547,-84.51288,
LARCENY-FROM VEHICLE,090211175,01/21/2009,BELL ST NE / JOHN WESLEY DOBBS AVE NE,509,Downtown,M,33.75754,-84.37942,
LARCENY-FROM VEHICLE,090211083,01/21/2009,3748 STAMFORD RD SW,413,Wisteria Gardens,H,33.7556,-84.5108,
LARCENY-FROM VEHICLE,090210874,01/21/2009,1359-A ELLSWORTH INDUSTRIAL BLVD NW,209,Blandtown,D,33.79167,-84.42683,
LARCENY-FROM VEHICLE,090211917,01/21/2009,W PEACHTREE ST NE / SIMPSON ST NW,507,Downtown,M,33.76331,-84.38754,
LARCENY-FROM VEHICLE,090211990,01/21/2009,329 MARIETTA ST NW,506,Downtown,M,33.7623,-84.39643,
LARCENY-FROM VEHICLE,090211708,01/21/2009,SPRING ST NW / MARIETTA ST NW,506,Downtown,M,33.75699,-84.39267,
LARCENY-FROM VEHICLE,090211686,01/21/2009,44 PEACHTREE PL NW,502,Midtown,E,33.78045,-84.38923,
LARCENY-FROM VEHICLE,090211803,01/21/2009,1198 HOWELL MILL RD NW,209,Blandtown,D,33.78703,-84.41185,
LARCENY-FROM VEHICLE,090211765,01/21/2009,2165 CHESHIRE BRIDGE RD,602,Lindridge/Martin Manor,F,33.81438,-84.35297,
LARCENY-FROM VEHICLE,090211774,01/21/2009,502 AMSTERDAM AVE NE,602,Morningside/Lenox Park,F,33.78831,-84.36969,
LARCENY-FROM VEHICLE,090211621,01/21/2009,KINGSBORO RD @ OAK VALLEY RD,204,Lenox,B,33.84922,-84.36056,
LARCENY-FROM VEHICLE,090210485,01/21/2009,9 CLAY ST SE,608,Kirkwood,O,33.75294,-84.33051,
LARCENY-FROM VEHICLE,090211343,01/21/2009,1576 DONALD LEE HOLLOWELL PKWY NW,105,Grove Park,J,33.7716,-84.44024,
LARCENY-FROM VEHICLE,090210821,01/21/2009,508 MAIN ST NE,206,Lindbergh/Morosgo,B,33.82278,-84.3701,
LARCENY-FROM VEHICLE,090210284,01/21/2009,1999 BENT CREEK WAY SW,408,Campbellton Road,R,33.70087,-84.46574,
LARCENY-FROM VEHICLE,090210725,01/21/2009,602 N HIGHLAND AVE NE,604,Poncey-Highland,N,33.77082,-84.35274,
LARCENY-FROM VEHICLE,090211327,01/21/2009,221 PEACHTREE CENTER AVE NE,507,Downtown,M,33.7606,-84.38593,
LARCENY-FROM VEHICLE,090210385,01/21/2009,1251 HARDEE ST NE,607,Edgewood,O,33.75522,-84.34671,
LARCENY-FROM VEHICLE,090210422,01/21/2009,923 PEACHTREE ST NE,502,Midtown,E,33.77965,-84.3833,
LARCENY-NON VEHICLE,090211476,01/21/2009,1065 FAIR ST SW,107,Ashview Heights,T,33.74926,-84.42259,
LARCENY-NON VEHICLE,090211171,01/21/2009,2025 JONESBORO RD SE,307,Lakewood,Z,33.69928,-84.37242,
LARCENY-NON VEHICLE,090211073,01/21/2009,2969 W PEEK RD,109,Collier Heights,I,33.77449,-84.48415,
LARCENY-NON VEHICLE,090210885,01/21/2009,111 BOULEVARD SE,510,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-NON VEHICLE,090210070,01/21/2009,3113 CAMPBELLTON RD SW,407,Southwest,R,33.69261,-84.49098,
LARCENY-FROM VEHICLE,090211890,01/21/2009,75 BENNETT ST NW,210,,C,33.81221,-84.39516,
LARCENY-FROM VEHICLE,090211142,01/21/2009,JOSEPH E LOWERY BLVD SW / WESTVIEW DR SW,107,Ashview Heights,T,33.74651,-84.41756,
LARCENY-FROM VEHICLE,090210460,01/21/2009,955 JUNIPER ST NE,502,Midtown,E,33.78083,-84.38246,
LARCENY-FROM VEHICLE,090210556,01/21/2009,238 WALKER ST SW,508,Castleberry Hill,M,33.74821,-84.40256,
LARCENY-NON VEHICLE,090211972,01/21/2009,2176 DONALD LEE HOLLOWELL PKWY NW,104,Center Hill,J,33.77671,-84.45898,
LARCENY-NON VEHICLE,090208068,01/21/2009,6000 NORTH TERMINAL PARKWAY,705,,,33.64075,-84.44589,
LARCENY-NON VEHICLE,090210857,01/21/2009,776 METROPOLITAN PKWY SW,303,Pittsburgh,V,33.73396,-84.408,
LARCENY-NON VEHICLE,090211579,01/21/2009,2637 OLD HAPEVILLE RD SW,307,Browns Mill Park,Z,33.68315,-84.39563,
LARCENY-NON VEHICLE,090211045,01/21/2009,3705 COLLIER DR NW,110,Carroll Heights,H,33.76999,-84.50911,
LARCENY-NON VEHICLE,090210850,01/21/2009,1239 KENILWORTH DR SW,406,Venetian Hills,S,33.72131,-84.43443,
LARCENY-NON VEHICLE,090210576,01/21/2009,201 COURTLAND ST NE,507,Downtown,M,33.75993,-84.38395,
LARCENY-NON VEHICLE,090210920,01/21/2009,3116 WATERS RD SW,309,Glenrose Heights,Z,33.66926,-84.39654,
LARCENY-NON VEHICLE,090211828,01/21/2009,508 MAIN STREET,206,Lindbergh/Morosgo,B,33.8227,-84.37056,
LARCENY-NON VEHICLE,090211456,01/21/2009,101 ANDREW YOUNG INTERNA BLVD NW,507,Downtown,M,33.76008,-84.39106,
LARCENY-NON VEHICLE,090241015,01/21/2009,1197 PEACHTREE ST,504,North Buckhead,B,33.87561,-84.36518,
LARCENY-NON VEHICLE,090210658,01/21/2009,30 MARIETTA ST NW,506,Downtown,M,33.75478,-84.39134,
LARCENY-NON VEHICLE,090210733,01/21/2009,3376 PEACHTREE RD NE,203,North Buckhead,B,33.84934,-84.3664,
LARCENY-NON VEHICLE,090210621,01/21/2009,4041 RANDALL MILL RD NW,202,Mt. Paran/Northside,A,33.86458,-84.4271,
LARCENY-NON VEHICLE,090210310,01/21/2009,976 CONNALLY ST SE,302,Peoplestown,V,33.72779,-84.38123,
LARCENY-NON VEHICLE,090210510,01/21/2009,1649 MCLENDON AVE NE,605,Candler Park,N,33.76469,-84.3334,
AUTO THEFT,090211053,01/21/2009,150 PEYTON PL SW,412,Harland Terrace,I,33.75046,-84.47579,
AUTO THEFT,090210300,01/21/2009,174 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.74926,-84.353,
AUTO THEFT,090210292,01/21/2009,3501 DONALD LEE HOLLOWELL PKWY NW,110,Atlanta Industrial Park,G,33.79428,-84.50214,
AUTO THEFT,090210015,01/21/2009,576 MEANS ST NW,501,Marietta Street Artery,E,33.77401,-84.40697,
AUTO THEFT,090210405,01/21/2009,3525 COLLIER DR NW,110,Fairburn Heights,H,33.7687,-84.50287,
AUTO THEFT,090210390,01/21/2009,785 MAGNOLIA WAY NW,101,Vine City,L,33.75823,-84.41379,
AUTO THEFT,090210429,01/21/2009,1046 HENRY THOMAS DR SE,611,Thomasville Heights,Z,33.70613,-84.35434,
AUTO THEFT,090210456,01/21/2009,502 PRYOR ST SW,301,Mechanicsville,V,33.74114,-84.39442,
AUTO THEFT,090210856,01/21/2009,2798 PEEK RD NW,109,Collier Heights,I,33.77751,-84.478,
AUTO THEFT,090211035,01/21/2009,3324 PEACHTREE RD NE,203,North Buckhead,B,33.84584,-84.36933,
AUTO THEFT,090210356,01/21/2009,770 MYRTLE ST NE,503,Midtown,E,33.77547,-84.38008,
AUTO THEFT,090210312,01/21/2009,585 MCWILLIAMS RD SE,307,Browns Mill Park,Z,33.68869,-84.36881,
